Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,GS,MinIncET,KMHSPEED,OutPossHighDecels,OutPossHighAccels,OutPossDistSprint,OutPossDistHSRun,DistanceRunOutPoss,InPossHighDecels,InPossHighAccels,InPossDistSprint,InPossDistHSRun,DistanceRunInPoss,TopSpeed,ScndHalfHighDecels,ScndHalfHighAccels,ScndHalfDistSprint,ScndHalfDistHSRun,DistanceRunScndHalf,FirstHalfHighDecels,FirstHalfHighAccels,FirstHalfDistSprint,FirstHalfDistHSRun,DistanceRunFirstHalf
1,4gglrx5t4kgdqqc51tgfjgz4l,287069,A. Seck,Abdoulaye Seck,Right Centre Back,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,245741,Abdoulaye,Seck,Right Centre Back,1,90,33,1,101,28.48,4,3,84.4,172.1,3270.1,2,3,30.6,115.2,5732.9,7.91,3,0,86.2,130.4,4427.6,4,7,29.1,156.9,4587.6
1,70knbl666fg2kyli67knr5l2h,461518,M. Camara,Mohamed Ali Camara,Right Centre Back,1007,Maccabi Tel Aviv,Maccabi TA,MTA,ealjallt13942jb2q2hk4buxa,Maccabi Tel Aviv,#FFFF00,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,423877,Mohamed Ali,Camara,Right Centre Back,1,45,28,1,47,28.84,9,8,120.6,167.8,2604.9,3,1,6.2,71.3,2795.7,8.01,0,0,0.0,0.0,0.0,12,9,126.7,239.8,5406.5
1,92tbqo50d66js1i6siz84980l,268270,J. Pius,Júnior Pius,Left Centre Back,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,430822,Júnior,Pius,Left Centre Back,1,90,29,1,103,27.81,11,10,123.1,235.2,5536.2,3,5,0.0,112.3,3923.2,7.72,11,6,56.4,164.1,4497.5,5,10,66.7,184.7,4977.8
1,7pcudmcb9hcs0g8rtzms2a6p6,526513,Rogério Santos,Rogério Santos,Goalkeeper,18909,Ironi Tiberias,I Tiberias,ITB,8k3kbfzfqi2senhosaaimvgjm,Ironi Tiberias,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,428396,Rogério Paulo,Veiga dos Santos,Goalkeeper,1,90,26,1,97,20.89,1,0,0.0,24.9,3066.2,0,1,0.0,0.0,1820.9,5.80,0,1,0.0,0.0,2432.4,1,0,0.0,24.9,2459.9
1,f3tryo4j786kmubzmu4bl3rvt,179547,Heriberto Tavares,Heriberto Tavares,Right Wing Back,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,250685,Heriberto Moreno,Borges Tavares,Right Wing Back,1,24,28,1,23,27.47,3,3,0.0,31.8,1222.1,2,2,44.1,93.5,1252.4,7.63,0,0,0.0,0.0,0.0,5,5,44.1,126.0,2478.9
1,36zhp9xnrgc8ykqszyz0mfyz9,181635,I. Coll,Israel Coll,Defensive Midfielder,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,169818,Israel,Coll,Defensive Midfielder,1,90,32,1,103,27.68,9,4,69.0,277.6,4776.7,10,9,34.9,327.2,7052.0,7.69,8,8,80.9,333.8,6068.5,11,5,23.0,272.0,5778.3
1,1k6t149nkiqw3nnvzyqoys3x1,298017,M. Plakushchenko,Maxim Plakushchenko,Central Midfielder,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,225793,Maxim,Plakushchenko,Central Midfielder,1,90,29,1,96,26.63,8,3,16.0,189.9,5716.2,7,3,58.0,252.8,4755.1,7.40,7,0,28.8,228.4,4987.1,8,6,45.3,214.3,5495.9
1,48fr1qy0m1mps94g9db7zpxhx,263515,A. Avraham,Daniel Avraham,Central Midfielder,2788,Ironi Kiryat Shmona,Kiryat Shmona,IKS,e2ryr6aied781hzc7hx9yntk8,Ironi Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,222318,Daniel,Avraham,Central Midfielder,1,55,29,1,54,28.17,7,5,59.5,482.5,3660.9,8,3,85.4,252.0,2915.5,7.83,3,1,0.0,98.4,1118.0,12,7,145.0,637.3,5467.6
1,c1p4g5moxcqcb9f6t0nu6iwut,235150,S. Ben David,Shay David,Left Centre Back,2788,Ironi Kiryat Shmona,Kiryat Shmona,IKS,e2ryr6aied781hzc7hx9yntk8,Ironi Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,222245,Shay,David,Left Centre Back,1,90,28,1,95,29.52,13,15,110.6,393.3,5329.7,6,6,30.3,141.0,4039.4,8.20,10,7,50.9,237.8,4807.5,9,15,89.9,297.8,4576.7
1,ch8y2mimoj3mywwt30wmeozqh,491760,A. Tzur,Assaf Tzur,Goalkeeper,245,Hapoel Tel Aviv,Hapoel TA,HTA,dv6fn97f0kx4x988y86gkmwb8,Hapoel Tel Aviv,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,234918,Assaf,Tzur,Goalkeeper,1,90,27,1,103,23.18,4,2,14.3,28.6,3180.4,6,7,12.5,37.6,4222.8,6.44,4,1,12.5,19.1,3417.4,6,8,14.3,47.1,3996.6
1,bfosglxfsy1xi5sb1631q9ujt,273180,D. Jovanovic,Djordje Jovanovic,Centre Forward,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,223759,Djordje,Jovanovic,Centre Forward,1,61,26,1,64,29.75,5,2,86.2,123.4,2544.5,5,6,72.5,207.3,3937.9,8.26,1,2,11.7,74.3,1525.3,10,6,147.6,256.7,4966.6
1,8ckhpp54jbvoyd2trwjdyt1ey,459686,A. Jiddou,Abdou Jiddou,Centre Attacking Midfielder,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,438453,Abdou,Jiddou,Centre Attacking Midfielder,1,49,25,1,50,27.19,5,5,43.9,164.1,2812.8,6,5,42.2,218.9,3730.9,7.55,0,0,0.0,32.0,151.9,12,10,86.1,351.5,6400.0
1,b88284s4mp8la92plmqyaouz9,248895,T. Altman,Tomer Altman,Defensive Midfielder,2792,Hapoel Petah Tikva,H Petah Tikva,HPT,1f4f869ya31jh0biwiipqxpj2,Hapoel Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,429572,Tomer,Altman,Defensive Midfielder,1,90,27,1,95,25.86,6,11,81.3,478.8,5051.7,7,5,13.6,264.8,6270.9,7.18,5,6,46.3,251.4,5740.2,9,12,48.8,492.6,5599.9
1,7igcmnx15yxl14is0skos3a7e,575750,K. Niemczycki,Karol Niemczycki,Goalkeeper,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,431400,Karol,Niemczycki,Goalkeeper,1,90,26,1,103,23.82,3,3,0.0,42.3,2725.4,1,1,1.7,30.5,3819.1,6.62,2,0,1.7,53.4,3191.0,2,4,0.0,19.7,3363.0
1,5sstt5ezbif7qcx49wf727bo5,176643,E. Khutaba,Eyad Khutaba,Right Back,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,104626,Eyad,Khutaba,Right Back,1,80,37,1,82,30.77,14,10,99.2,377.1,4740.5,8,5,66.7,229.8,4404.0,8.55,6,3,34.2,185.2,3072.6,18,12,131.7,422.6,6086.0
1,bnvn62bvgnxme73r0zd7ctx3p,139170,R. Gordana,Roei Gordana,Defensive Midfielder,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,74361,Roei,Gordana,Defensive Midfielder,1,45,35,1,50,27.59,9,4,63.2,151.7,3088.7,4,0,5.1,63.8,2951.6,7.66,0,0,0.0,0.0,0.0,13,4,68.3,216.0,6049.8
1,6ogd8jmytb5ed5bfs015zk8vd,539513,S. Bilenkyi,Stanislav Bilenkyi,Centre Forward,18909,Ironi Tiberias,I Tiberias,ITB,8k3kbfzfqi2senhosaaimvgjm,Ironi Tiberias,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,422305,Stanislav,Bilenkyi,Centre Forward,1,90,27,1,97,30.24,15,3,49.4,178.5,6422.0,17,11,230.7,418.6,4329.9,8.40,21,7,142.2,247.3,5213.5,14,7,138.2,351.6,5550.3
1,89ixapo4jd0qy98gmvl4a6jje,324689,W. Harris,Wilson Harris,Centre Forward,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,224637,Wilson,Harris,Centre Forward,1,24,25,1,23,24.11,3,1,0.0,42.5,1511.9,1,1,0.0,138.1,1498.1,6.70,0,0,0.0,0.0,0.0,4,2,0.0,181.0,3013.8
1,5ktbdhppsztymyvvd6o4toyne,611746,A. Pejic,Aleksa Pejic,Defensive Midfielder,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,445246,Aleksa,Pejic,Defensive Midfielder,1,90,26,1,103,26.72,15,4,24.1,528.8,6651.0,8,1,54.1,185.9,4738.6,7.42,7,0,39.7,316.7,5366.4,18,6,38.4,398.5,6041.8
1,cyh16toqa9wxmxepg635ecgve,275270,J. Bataille,Jelle Bataille,Right Back,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,430854,Jelle,Bataille,Right Back,1,90,26,1,101,31.58,3,3,106.7,203.7,3422.5,7,2,237.0,375.1,6656.3,8.77,5,3,92.8,334.7,5230.9,5,3,251.2,244.6,4861.2
1,bb9nokoy7baw4tylvjv9ndk6i,653471,P. Michael,Peter Michael,Centre Forward,18909,Ironi Tiberias,I Tiberias,ITB,8k3kbfzfqi2senhosaaimvgjm,Ironi Tiberias,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,446585,Peter,Michael,Centre Forward,1,30,27,1,29,30.73,2,2,19.7,42.6,1629.3,7,0,91.0,93.6,1032.1,8.54,0,0,0.0,0.0,0.0,10,2,110.7,136.2,2664.0
1,7kmpjqdb6qs927qv3d9naw3qh,536331,J. East,Javon East,Centre Forward,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,431945,Javon,East,Centre Forward,1,83,30,1,86,30.08,4,11,57.9,155.4,4247.5,12,7,97.7,294.6,4269.4,8.36,7,7,92.6,259.0,3540.0,9,12,63.0,191.4,4986.6
1,8n0ov984xk1bd857ihgxsb36d,221058,G. Hadida,Guy Hadida,Central Midfielder,18909,Ironi Tiberias,I Tiberias,ITB,8k3kbfzfqi2senhosaaimvgjm,Ironi Tiberias,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,234973,Guy,Hadida,Central Midfielder,1,90,30,1,97,26.58,12,12,22.6,283.3,6874.5,6,4,55.5,225.3,4090.0,7.38,7,3,30.9,237.3,5141.1,12,13,47.1,271.3,5834.7
1,8sc73jwz1m804nah1z5in872t,73049,D. Malul,Dor Malul,Right Back,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,74403,Dor,Malul,Right Back,1,84,36,1,86,25.79,4,3,37.2,153.6,4061.8,3,2,0.0,87.9,3923.1,7.17,3,2,0.0,84.6,3376.8,4,3,37.2,156.9,4618.0
1,6p5u350my0peqmc01f54i2ga1,494887,I. Nicolaescu,Ion Nicolaescu,Centre Forward,1007,Maccabi Tel Aviv,Maccabi TA,MTA,ealjallt13942jb2q2hk4buxa,Maccabi Tel Aviv,#FFFF00,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,448626,Ion,Nicolaescu,Centre Forward,1,64,27,1,65,29.45,6,3,57.0,235.4,3562.6,7,2,84.9,180.9,3940.3,8.18,4,2,63.5,101.0,1967.8,9,4,78.5,315.2,5543.5
1,8ay78q8sxpocaxhcwg3f075qt,198888,Abdallah Jaber,Abdallah Jaber,Left Back,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,201450,Abdallah,Jaber,Left Back,1,90,32,1,103,29.08,10,11,150.3,453.3,6087.4,8,7,51.4,229.4,4470.5,8.08,8,7,91.6,337.9,5039.7,11,13,110.4,347.1,5536.2
1,dh6qjqmrjhr86db6oznj714yy,530795,B. Carabalí,Brayan Carabalí,Right Centre Back,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,475925,Brayan,Carabalí,Right Centre Back,1,90,26,1,101,29.56,17,12,174.0,360.7,6720.2,3,7,25.1,143.0,3502.1,8.21,6,5,57.2,189.7,4892.3,17,14,141.9,314.5,5344.3
1,161hof0maq9qtzukkgzz6n6xh,129628,K. Brucic,Karlo Brucic,Left Back,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,104513,Karlo,Brucic,Left Back,1,90,33,1,103,29.11,22,12,166.9,478.9,6936.8,7,3,33.3,119.5,4291.1,8.09,21,12,89.4,312.6,5872.8,8,4,111.0,287.3,5372.8
1,6phaoo48jbafqwlpiq1oxw50q,617557,Falcão,Falcão,Central Midfielder,245,Hapoel Tel Aviv,Hapoel TA,HTA,dv6fn97f0kx4x988y86gkmwb8,Hapoel Tel Aviv,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,479978,Lucas,de Oliveira Teodoro Falcão,Central Midfielder,1,61,27,1,62,28.60,6,6,112.3,295.3,3688.2,4,7,7.0,129.4,3337.0,7.94,2,0,37.7,78.6,1407.2,9,13,81.8,346.8,5631.4
1,8wton6upqwabd2kisbvzxuhre,702195,S. Bangoura,Sékou Bangoura,Central Midfielder,2788,Ironi Kiryat Shmona,Kiryat Shmona,IKS,e2ryr6aied781hzc7hx9yntk8,Ironi Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,482193,Sékou,Bangoura,Central Midfielder,1,90,23,1,95,27.22,8,7,170.2,451.0,6031.3,7,1,16.5,71.3,3948.4,7.56,13,5,123.7,313.0,5271.9,2,3,64.2,210.3,4724.6
